Location,Bed,Bath,To-let From,Rent,Title,Region
"Maijdee, Noakhali Sadar",2,2,July Rent ,9000,"Family House Rent Maijdee, Noakhali Sadar",Chittagong
"Rumaliar Chara, Cox's Bazar Sadar",2,2,June Rent ,10000,"Family House Rent Rumaliar Chara, Cox's Bazar Sadar",Chittagong
"Rumaliar Chara, Cox's Bazar Sadar",1,1,June Rent ,1600,"Bachelor Seat Rent Rumaliar Chara, Cox's Bazar Sadar",Chittagong
"Rumaliar Chara, Cox's Bazar Sadar",2,1,July Rent ,6500,"Family House Rent Rumaliar Chara, Cox's Bazar Sadar",Chittagong
"Baharchara, Cox's Bazar Sadar",2,2,July Rent ,16000,"Family House Rent Baharchara, Cox's Bazar Sadar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",1,1,July Rent ,8000,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Feni Sadar, Feni",2,2,June Rent ,8000,"Family House Rent Feni Sadar, Feni",Chittagong
"Brahmanbaria Sadar, Brahmanbaria",1,1,June Rent ,1500,"Bachelor Seat Rent Brahmanbaria Sadar, Brahmanbaria",Chittagong
"Brahmanbaria Sadar, Brahmanbaria",N/A,1,June Rent ,5000,"Sublet Room Rent Brahmanbaria Sadar, Brahmanbaria Room: 1, Bath: 1 To-let from:
                                June Rent : 5000 BDT Save Property Add to Compare",Chittagong
"College Para, Brahmanbaria Sadar",1,1,July Rent ,3000,"Family Room Rent College Para, Brahmanbaria Sadar",Chittagong
"Brahmanbaria Sadar, Brahmanbaria",2,2,July Rent ,10000,"Family House Rent Brahmanbaria Sadar, Brahmanbaria",Chittagong
"Brahmanbaria Sadar, Brahmanbaria",1,1,June Rent ,3000,"Bachelor Room Rent Brahmanbaria Sadar, Brahmanbaria",Chittagong
"Brahmanbaria Sadar, Brahmanbaria",1,2,June Rent ,1200,"Bachelor Seat Rent Brahmanbaria Sadar, Brahmanbaria",Chittagong
"Master Para, Noakhali Sadar",2,2,June Rent ,8080,"Family House Rent Master Para, Noakhali Sadar",Chittagong
"Maijdee, Noakhali Sadar",N/A,2,June Rent ,3500,"Sublet Room Rent Maijdee, Noakhali Sadar Room: 1, Bath: 2 To-let from:
                                June Rent : 3500 BDT Save Property Add to Compare",Chittagong
"Maijdee, Noakhali Sadar",2,2,June Rent ,8000,"Family Unit Rent Maijdee, Noakhali Sadar",Chittagong
"Maijdee, Noakhali Sadar",1,1,June Rent ,1950,"Bachelor Seat Rent Maijdee, Noakhali Sadar",Chittagong
"Kulshi, Chittagong",2,2,June Rent ,15700,"Family House Rent Kulshi, Chittagong",Chittagong
"Chokbazar, Chittagong",2,2,June Rent ,9500,"Family House Rent Chokbazar, Chittagong",Chittagong
"Oxygen, Baijid bostami",2,1,June Rent ,6000,"Family House Rent Oxygen, Baijid bostami",Chittagong
"Agrabad, Doublemooring",N/A,1,June Rent ,5000,"Sublet Room Rent Agrabad, Doublemooring Room: 1, Bath: 1 To-let from:
                                June Rent : 5000 BDT Save Property Add to Compare",Chittagong
"Feni Sadar, Feni",N/A,1,June Rent ,4000,"Sublet Room Rent Feni Sadar, Feni Room: 1, Bath: 1 To-let from:
                                June Rent : 4000 BDT Save Property Add to Compare",Chittagong
"Brahmanbaria Sadar, Brahmanbaria",1,1,June Rent ,2835,"Bachelor Room Rent Brahmanbaria Sadar, Brahmanbaria",Chittagong
"Moddopara, Brahmanbaria Sadar",2,2,June Rent ,9000,"Family Flat Rent Moddopara, Brahmanbaria Sadar",Chittagong
"Brahmanbaria Sadar, Brahmanbaria",1,1,June Rent ,2050,"Bachelor Seat Rent Brahmanbaria Sadar, Brahmanbaria",Chittagong
"Moddopara, Brahmanbaria Sadar",2,1,June Rent ,6500,"Family Flat Rent Moddopara, Brahmanbaria Sadar",Chittagong
"Chandpur Sadar, Chandpur",2,1,June Rent ,5000,"Family House Rent Chandpur Sadar, Chandpur",Chittagong
"Daulatpur, Comilla Sadar",1,1,July Rent ,2500,"Family House Rent Daulatpur, Comilla Sadar",Chittagong
"Comilla Sadar, Comilla",N/A,1,June Rent ,3500,"Sublet Room Rent Comilla Sadar, Comilla Room: 1, Bath: 1 To-let from:
                                June Rent : 3500 BDT Save Property Add to Compare",Chittagong
"Comilla Sadar, Comilla",2,1,June Rent ,8500,"Family House Rent Comilla Sadar, Comilla",Chittagong
"Baharchara, Cox's Bazar Sadar",2,2,August Rent ,15000,"Family House Rent Baharchara, Cox's Bazar Sadar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",1,1,July Rent ,5000,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",1,1,June Rent ,5500,"Family Flat Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Oxygen, Baijid bostami",3,1,June Rent ,9000,"Family House Rent Oxygen, Baijid bostami",Chittagong
"Nasirabad, Panchlaish",1,1,June Rent ,9500,"Family House Rent Nasirabad, Panchlaish",Chittagong
"Hali Shohor, Chittagong",2,2,June Rent ,13000,"Family House Rent Hali Shohor, Chittagong",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",2,1,June Rent ,5000,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",1,1,July Rent ,7000,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Dharmapur, Comilla Sadar",3,2,June Rent ,10000,"Family House Rent Dharmapur, Comilla Sadar",Chittagong
"West Medda, Brahmanbaria Sadar",1,1,June Rent ,5000,"Family House Rent West Medda, Brahmanbaria Sadar",Chittagong
"Moddopara, Brahmanbaria Sadar",2,2,July Rent ,6500,"Family House Rent Moddopara, Brahmanbaria Sadar",Chittagong
"Brahmanbaria Sadar, Brahmanbaria",2,1,June Rent ,4500,"Family House Rent Brahmanbaria Sadar, Brahmanbaria",Chittagong
"College Para, Brahmanbaria Sadar",1,1,June Rent ,4000,"Family House Rent College Para, Brahmanbaria Sadar",Chittagong
"Chandgaon, Chittagong",3,2,June Rent ,15000,"Family House Rent Chandgaon, Chittagong",Chittagong
"Agrabad, Doublemooring",3,2,June Rent ,15000,"Family House Rent Agrabad, Doublemooring",Chittagong
"Nasirabad, Panchlaish",1,1,August Rent ,5500,"Bachelor Room Rent Nasirabad, Panchlaish",Chittagong
"Agrabad, Doublemooring",2,2,June Rent ,12500,"Family House Rent Agrabad, Doublemooring",Chittagong
"Kulshi, Chittagong",3,3,August Rent ,18000,"Family House Rent Kulshi, Chittagong",Chittagong
"Rahattarpul, Bakolia",2,2,July Rent ,10000,"Family House Rent Rahattarpul, Bakolia",Chittagong
"Chokbazar, Chittagong",2,2,June Rent ,22000,"Family House Rent Chokbazar, Chittagong",Chittagong
"Agrabad, Doublemooring",2,2,June Rent ,12000,"Family House Rent Agrabad, Doublemooring",Chittagong
"Rampur, Hali Shohor",2,2,July Rent ,10000,"Family House Rent Rampur, Hali Shohor",Chittagong
"Kotwali, Chittagong",N/A,1,July Rent ,7500,"Sublet Room Rent Kotwali, Chittagong Room: 1, Bath: 1 To-let from:
                                July Rent : 7500 BDT Save Property Add to Compare",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",2,1,June Rent ,50000,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",2,2,June Rent ,7500,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Kawtoli, Brahmanbaria Sadar",2,1,June Rent ,6700,"Family House Rent Kawtoli, Brahmanbaria Sadar",Chittagong
"Moddopara, Brahmanbaria Sadar",2,2,July Rent ,7700,"Family House Rent Moddopara, Brahmanbaria Sadar",Chittagong
"Kandi Para, Brahmanbaria Sadar",3,1,July Rent ,6000,"Family House Rent Kandi Para, Brahmanbaria Sadar",Chittagong
"College Para, Brahmanbaria Sadar",1,1,June Rent ,3500,"Bachelor Room Rent College Para, Brahmanbaria Sadar",Chittagong
"Brahmanbaria Sadar, Brahmanbaria",2,2,June Rent ,6000,"Family House Rent Brahmanbaria Sadar, Brahmanbaria",Chittagong
"Brahmanbaria Sadar, Brahmanbaria",2,2,June Rent ,7000,"Family House Rent Brahmanbaria Sadar, Brahmanbaria",Chittagong
"Comilla Sadar, Comilla",3,2,June Rent ,7000,"Family House Rent Comilla Sadar, Comilla",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",2,1,June Rent ,7500,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",N/A,1,June Rent ,3500,"Sublet Room Rent Cox's Bazar Sadar , Cox's Bazar Room: 1, Bath: 1 To-let from:
                                June Rent : 3500 BDT Save Property Add to Compare",Chittagong
"Tek Para, Cox's Bazar Sadar",2,1,June Rent ,6000,"Family House Rent Tek Para, Cox's Bazar Sadar",Chittagong
"Pahartali, Cox's Bazar Sadar",1,1,June Rent ,7000,"Family House Rent Pahartali, Cox's Bazar Sadar",Chittagong
"Pahartali, Cox's Bazar Sadar",2,2,June Rent ,10000,"Family House Rent Pahartali, Cox's Bazar Sadar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",3,2,June Rent ,17000,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Comilla Sadar, Comilla",2,2,June Rent ,7000,"Family House Rent Comilla Sadar, Comilla",Chittagong
"Comilla Sadar, Comilla",2,2,June Rent ,12000,"Family House Rent Comilla Sadar, Comilla",Chittagong
"Shodhorgat, Chittagong",2,2,June Rent ,15000,"Family House Rent Shodhorgat, Chittagong",Chittagong
"Baijid bostami, Chittagong",N/A,1,June Rent ,4500,"Sublet Room Rent Baijid bostami, Chittagong Room: 1, Bath: 1 To-let from:
                                June Rent : 4500 BDT Save Property Add to Compare",Chittagong
"Baijid bostami, Chittagong",3,3,July Rent ,18000,"Family House Rent Baijid bostami, Chittagong",Chittagong
"Rahman Nagar, Baijid bostami",1,1,June Rent ,1400,"Bachelor Seat Rent Rahman Nagar, Baijid bostami",Chittagong
"Bakolia, Chittagong",2,1,June Rent ,7000,"Family House Rent Bakolia, Chittagong",Chittagong
"Chokbazar, Chittagong",N/A,1,July Rent ,6500,"Sublet Room Rent Chokbazar, Chittagong Room: 1, Bath: 1 To-let from:
                                July Rent : 6500 BDT Save Property Add to Compare",Chittagong
"Dewanhat, Doublemooring",N/A,1,June Rent ,5000,"Sublet Room Rent Dewanhat, Doublemooring Room: 1, Bath: 1 To-let from:
                                June Rent : 5000 BDT Save Property Add to Compare",Chittagong
"Dewanhat, Doublemooring",2,1,June Rent ,12000,"Family House Rent Dewanhat, Doublemooring",Chittagong
"Hathazari, Chittagong",2,1,June Rent ,6000,"Family House Rent Hathazari, Chittagong",Chittagong
"Kulshi, Chittagong",1,1,June Rent ,6500,"Bachelor Room Rent Kulshi, Chittagong",Chittagong
"Maijdee, Noakhali Sadar",N/A,1,June Rent ,7000,"Sublet Room Rent Maijdee, Noakhali Sadar Room: 1, Bath: 1 To-let from:
                                June Rent : 7000 BDT Save Property Add to Compare",Chittagong
"Maijdee, Noakhali Sadar",1,1,June Rent ,3750,"Bachelor Room Rent Maijdee, Noakhali Sadar",Chittagong
"Noakhali Sadar, Noakhali",1,1,June Rent ,2500,"Bachelor Room Rent Noakhali Sadar, Noakhali",Chittagong
"Noakhali Sadar, Noakhali",2,2,June Rent ,7000,"Family House Rent Noakhali Sadar, Noakhali",Chittagong
"Maijdee, Noakhali Sadar",2,2,June Rent ,7000,"Family House Rent Maijdee, Noakhali Sadar",Chittagong
"Moddopara, Brahmanbaria Sadar",2,1,June Rent ,6000,"Family House Rent Moddopara, Brahmanbaria Sadar",Chittagong
"Brahmanbaria Sadar, Brahmanbaria",1,1,June Rent ,4000,"Family Room Rent Brahmanbaria Sadar, Brahmanbaria",Chittagong
"Brahmanbaria Sadar, Brahmanbaria",2,2,June Rent ,7500,"Family House Rent Brahmanbaria Sadar, Brahmanbaria",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",1,1,June Rent ,6500,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",2,2,June Rent ,8500,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",2,1,June Rent ,5500,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",3,2,June Rent ,9000,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",2,1,June Rent ,6500,"Bachelor House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Bahaddarhat, Chandgaon",1,1,June Rent ,2500,"Bachelor Seat Rent Bahaddarhat, Chandgaon",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",2,2,June Rent ,12000,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",2,1,June Rent ,6500,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Baharchara, Cox's Bazar Sadar",3,3,July Rent ,24000,"Family House Rent Baharchara, Cox's Bazar Sadar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",1,1,June Rent ,5500,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",1,1,June Rent ,4500,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Feni Sadar, Feni",3,3,June Rent ,15000,"Family House Rent Feni Sadar, Feni",Chittagong
"Brahmanbaria Sadar, Brahmanbaria",N/A,1,May Rent ,4200,"Sublet Room Rent Brahmanbaria Sadar, Brahmanbaria Room: 1, Bath: 1 To-let from:
                                May Rent : 4200 BDT Save Property Add to Compare",Chittagong
"West Medda, Brahmanbaria Sadar",2,1,June Rent ,5000,"Family House Rent West Medda, Brahmanbaria Sadar",Chittagong
"Brahmanbaria Sadar, Brahmanbaria",2,2,June Rent ,5200,"Family House Rent Brahmanbaria Sadar, Brahmanbaria",Chittagong
"Chandpur Sadar, Chandpur",2,2,June Rent ,5500,"Family House Rent Chandpur Sadar, Chandpur",Chittagong
"Chandpur Sadar, Chandpur",2,2,July Rent ,7500,"Family House Rent Chandpur Sadar, Chandpur",Chittagong
"Comilla Sadar, Comilla",1,1,June Rent ,6500,"Family House Rent Comilla Sadar, Comilla",Chittagong
"Comilla Sadar, Comilla",2,2,June Rent ,10000,"Family House Rent Comilla Sadar, Comilla",Chittagong
"Comilla Sadar, Comilla",N/A,1,May Rent ,4500,"Sublet Room Rent Comilla Sadar, Comilla Room: 1, Bath: 1 To-let from:
                                May Rent : 4500 BDT Save Property Add to Compare",Chittagong
"Comilla Sadar, Comilla",2,1,June Rent ,6500,"Family House Rent Comilla Sadar, Comilla",Chittagong
"Bagichagoun, Comilla Sadar",3,3,June Rent ,15000,"Family House Rent Bagichagoun, Comilla Sadar",Chittagong
"Hali Shohor, Chittagong",3,3,June Rent ,13500,"Family Flat Rent Hali Shohor, Chittagong",Chittagong
"Hali Shohor, Chittagong",3,3,June Rent ,13500,"Family Flat Rent Hali Shohor, Chittagong",Chittagong
"Baijid bostami, Chittagong",N/A,1,June Rent ,5500,"Sublet Room Rent Baijid bostami, Chittagong Room: 1, Bath: 1 To-let from:
                                June Rent : 5500 BDT Save Property Add to Compare",Chittagong
"Chokbazar, Chittagong",1,1,June Rent ,3500,"Bachelor Room Rent Chokbazar, Chittagong",Chittagong
"GEC, Kulshi",3,3,July Rent ,32000,"Family House Rent GEC, Kulshi",Chittagong
"Panchlaish, Chittagong",2,1,June Rent ,22000,"Family House Rent Panchlaish, Chittagong",Chittagong
"Bahaddarhat, Chandgaon",N/A,1,June Rent ,6000,"Sublet Room Rent Bahaddarhat, Chandgaon Room: 1, Bath: 1 To-let from:
                                June Rent : 6000 BDT Save Property Add to Compare",Chittagong
"Shodhorgat, Chittagong",2,2,June Rent ,10500,"Family House Rent Shodhorgat, Chittagong",Chittagong
"Chandgaon, Chittagong",2,2,June Rent ,11000,"Family House Rent Chandgaon, Chittagong",Chittagong
"Oxygen, Baijid bostami",2,2,June Rent ,10500,"Family House Rent Oxygen, Baijid bostami",Chittagong
"Bahaddarhat, Chandgaon",1,1,June Rent ,7500,"Family House Rent Bahaddarhat, Chandgaon",Chittagong
"Rahman Nagar, Baijid bostami",2,1,June Rent ,9000,"Family House Rent Rahman Nagar, Baijid bostami",Chittagong
"Kotwali, Chittagong",2,2,June Rent ,12000,"Family House Rent Kotwali, Chittagong",Chittagong
"Brahmanbaria Sadar, Brahmanbaria",2,1,May Rent ,6000,"Family House Rent Brahmanbaria Sadar, Brahmanbaria",Chittagong
"Rumaliar Chara, Cox's Bazar Sadar",1,1,May Rent ,4500,"Family House Rent Rumaliar Chara, Cox's Bazar Sadar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",1,1,May Rent ,6500,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",2,2,May Rent ,15000,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Rumaliar Chara, Cox's Bazar Sadar",1,1,May Rent ,4500,"Family House Rent Rumaliar Chara, Cox's Bazar Sadar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",2,2,May Rent ,10500,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",1,1,May Rent ,4000,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",2,1,May Rent ,5000,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Rumaliar Chara, Cox's Bazar Sadar",2,2,May Rent ,8500,"Family House Rent Rumaliar Chara, Cox's Bazar Sadar",Chittagong
"Kulshi, Chittagong",1,1,May Rent ,3500,"Bachelor Room Rent Kulshi, Chittagong",Chittagong
"Chokbazar, Chittagong",2,2,May Rent ,12000,"Family House Rent Chokbazar, Chittagong",Chittagong
"Nasirabad, Panchlaish",3,2,May Rent ,12000,"Family House Rent Nasirabad, Panchlaish",Chittagong
"Pahartali, Chittagong",2,1,May Rent ,10500,"Family House Rent Pahartali, Chittagong",Chittagong
"Hali Shohor, Chittagong",2,2,May Rent ,35000,"Family House Rent Hali Shohor, Chittagong",Chittagong
"Kornafuli, Chittagong",2,1,May Rent ,8000,"Family House Rent Kornafuli, Chittagong",Chittagong
"Kulshi, Chittagong",3,3,May Rent ,17000,"Family House Rent Kulshi, Chittagong",Chittagong
"Chandgaon, Chittagong",3,3,May Rent ,22000,"Family House Rent Chandgaon, Chittagong",Chittagong
"Chandgaon, Chittagong",2,2,May Rent ,10000,"Family House Rent Chandgaon, Chittagong",Chittagong
"Brahmanbaria Sadar, Brahmanbaria",2,2,May Rent ,7000,"Family House Rent Brahmanbaria Sadar, Brahmanbaria",Chittagong
"Kazi Para, Brahmanbaria Sadar",3,1,May Rent ,7000,"Family House Rent Kazi Para, Brahmanbaria Sadar",Chittagong
"Paik Para, Brahmanbaria Sadar",1,1,May Rent ,4000,"Family House Rent Paik Para, Brahmanbaria Sadar",Chittagong
"Vadughar Bazar, Brahmanbaria Sadar",3,2,May Rent ,8000,"Family House Rent Vadughar Bazar, Brahmanbaria Sadar",Chittagong
"South Mourail, Brahmanbaria Sadar",2,1,May Rent ,5000,"Family House Rent South Mourail, Brahmanbaria Sadar",Chittagong
"Daulatpur, Comilla Sadar",2,1,May Rent ,6500,"Family House Rent Daulatpur, Comilla Sadar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",N/A,1,May Rent ,6000,"Sublet Room Rent Cox's Bazar Sadar , Cox's Bazar Room: 1, Bath: 1 To-let from:
                                May Rent : 6000 BDT Save Property Add to Compare",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",2,1,May Rent ,6500,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Feni Sadar, Feni",3,2,May Rent ,8500,"Family House Rent Feni Sadar, Feni",Chittagong
"Feni Sadar, Feni",3,2,May Rent ,6000,"Family House Rent Feni Sadar, Feni",Chittagong
"Mohipal, Feni Sadar",2,1,May Rent ,6500,"Family House Rent Mohipal, Feni Sadar",Chittagong
"Feni Sadar, Feni",2,1,May Rent ,6000,"Family House Rent Feni Sadar, Feni",Chittagong
"Kulshi, Chittagong",3,4,May Rent ,24000,"Family House Rent Kulshi, Chittagong",Chittagong
"Rahman Nagar, Baijid bostami",2,2,May Rent ,13000,"Family House Rent Rahman Nagar, Baijid bostami",Chittagong
"Maijdee, Noakhali Sadar",2,2,May Rent ,7500,"Family House Rent Maijdee, Noakhali Sadar",Chittagong
"Baijid bostami, Chittagong",1,1,April Rent ,3700,"Bachelor Room Rent Baijid bostami, Chittagong",Chittagong
"Chokbazar, Chittagong",3,3,May Rent ,23000,"Family House Rent Chokbazar, Chittagong",Chittagong
"Hillview R/A, Bakolia",2,2,May Rent ,14000,"Family House Rent Hillview R/A, Bakolia",Chittagong
"Kulshi, Chittagong",3,3,May Rent ,25000,"Family House Rent Kulshi, Chittagong",Chittagong
"Mirsharai, Chittagong",2,1,May Rent ,4500,"Family House Rent Mirsharai, Chittagong",Chittagong
"Agrabad, Doublemooring",2,2,June Rent ,12500,"Family House Rent Agrabad, Doublemooring",Chittagong
"Bakolia, Chittagong",3,2,May Rent ,12000,"Family House Rent Bakolia, Chittagong",Chittagong
"Sholoshohor, Panchlaish",3,2,June Rent ,12000,"Family House Rent Sholoshohor, Panchlaish",Chittagong
"Bakolia, Chittagong",2,1,May Rent ,8000,"Family House Rent Bakolia, Chittagong",Chittagong
"Kulshi, Chittagong",1,1,May Rent ,8500,"Family House Rent Kulshi, Chittagong",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",N/A,3,April Rent ,30000,"Office Unit Rent Cox's Bazar Sadar , Cox's Bazar Room: 2, Bath: 3 To-let from:
                                April Rent : 30000 BDT Save Property Add to Compare",Chittagong
"College Para, Brahmanbaria Sadar",2,1,May Rent ,6000,"Family House Rent College Para, Brahmanbaria Sadar",Chittagong
"Paik Para, Brahmanbaria Sadar",3,2,May Rent ,9000,"Family House Rent Paik Para, Brahmanbaria Sadar",Chittagong
"College Para, Brahmanbaria Sadar",2,2,May Rent ,10000,"Family House Rent College Para, Brahmanbaria Sadar",Chittagong
"College Para, Brahmanbaria Sadar",3,2,May Rent ,8500,"Family House Rent College Para, Brahmanbaria Sadar",Chittagong
"Daulatpur, Comilla Sadar",2,1,May Rent ,7000,"Family House Rent Daulatpur, Comilla Sadar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",2,2,May Rent ,10000,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Rumaliar Chara, Cox's Bazar Sadar",2,1,May Rent ,6000,"Family House Rent Rumaliar Chara, Cox's Bazar Sadar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",3,2,May Rent ,9000,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",2,2,May Rent ,14000,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",2,1,May Rent ,6500,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Baharchara, Cox's Bazar Sadar",2,1,May Rent ,9000,"Family House Rent Baharchara, Cox's Bazar Sadar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",2,1,April Rent ,4000,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Rumaliar Chara, Cox's Bazar Sadar",2,1,May Rent ,5500,"Family House Rent Rumaliar Chara, Cox's Bazar Sadar",Chittagong
"Agrabad, Doublemooring",2,2,May Rent ,13500,"Family Flat Rent Agrabad, Doublemooring",Chittagong
"Doublemooring, Chittagong",2,2,April Rent ,14000,"Family House Rent Doublemooring, Chittagong",Chittagong
"Noakhali Sadar, Noakhali",3,2,April Rent ,11000,"Family House Rent Noakhali Sadar, Noakhali",Chittagong
"Noakhali Sadar, Noakhali",2,1,April Rent ,7000,"Family House Rent Noakhali Sadar, Noakhali",Chittagong
"Agrabad, Doublemooring",2,1,May Rent ,7000,"Family House Rent Agrabad, Doublemooring",Chittagong
"Chandgaon, Chittagong",1,1,May Rent ,7000,"Family House Rent Chandgaon, Chittagong",Chittagong
"Rampur, Hali Shohor",2,2,May Rent ,11000,"Family House Rent Rampur, Hali Shohor",Chittagong
"Kulshi, Chittagong",3,3,May Rent ,25000,"Family House Rent Kulshi, Chittagong",Chittagong
"Hali Shohor, Chittagong",2,2,May Rent ,7000,"Family House Rent Hali Shohor, Chittagong",Chittagong
"Hathazari, Chittagong",2,1,April Rent ,6500,"Family House Rent Hathazari, Chittagong",Chittagong
"Hali Shohor, Chittagong",2,1,May Rent ,7600,"Family House Rent Hali Shohor, Chittagong",Chittagong
"Rahattarpul, Bakolia",N/A,1,April Rent ,4000,"Sublet Room Rent Rahattarpul, Bakolia Room: 1, Bath: 1 To-let from:
                                April Rent : 4000 BDT Save Property Add to Compare",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",2,1,April Rent ,3500,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Rumaliar Chara, Cox's Bazar Sadar",1,1,April Rent ,5000,"Family House Rent Rumaliar Chara, Cox's Bazar Sadar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",2,2,April Rent ,9000,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Dewanhat, Doublemooring",1,1,April Rent ,7000,"Family Room Rent Dewanhat, Doublemooring",Chittagong
"Pahartali, Chittagong",2,1,April Rent ,7000,"Family House Rent Pahartali, Chittagong",Chittagong
"Bahaddarhat, Chandgaon",1,1,April Rent ,4500,"Family House Rent Bahaddarhat, Chandgaon",Chittagong
"Kulshi, Chittagong",1,1,April Rent ,5000,"Bachelor Room Rent Kulshi, Chittagong",Chittagong
"Chokbazar, Chittagong",1,1,April Rent ,8000,"Bachelor Seat Rent Chokbazar, Chittagong",Chittagong
"Choumohoni, Doublemooring",N/A,1,April Rent ,5500,"Sublet Room Rent Choumohoni, Doublemooring Room: 1, Bath: 1 To-let from:
                                April Rent : 5500 BDT Save Property Add to Compare",Chittagong
"Chandgaon, Chittagong",2,2,May Rent ,15000,"Family House Rent Chandgaon, Chittagong",Chittagong
"Oxygen, Baijid bostami",1,1,April Rent ,5500,"Bachelor House Rent Oxygen, Baijid bostami",Chittagong
"Agrabad, Doublemooring",2,1,April Rent ,8000,"Family House Rent Agrabad, Doublemooring",Chittagong
"Bakolia, Chittagong",3,3,May Rent ,18000,"Family House Rent Bakolia, Chittagong",Chittagong
"Bahaddarhat, Chandgaon",2,1,April Rent ,5600,"Family House Rent Bahaddarhat, Chandgaon",Chittagong
"Akbor Shah, Chittagong",3,3,April Rent ,15000,"Family House Rent Akbor Shah, Chittagong",Chittagong
"Maijdee, Noakhali Sadar",1,1,April Rent ,1500,"Bachelor Seat Rent Maijdee, Noakhali Sadar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",2,2,April Rent ,8500,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",1,1,April Rent ,5000,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Cox's Bazar Sadar , Cox's Bazar",2,1,April Rent ,8000,"Family House Rent Cox's Bazar Sadar , Cox's Bazar",Chittagong
"Chandpur Sadar, Chandpur",2,1,April Rent ,5000,"Family House Rent Chandpur Sadar, Chandpur",Chittagong
