Location,Bed,Bath,To-let From,Rent,Title,Region,Month,SubArea,PropertyType
"Mymensingh Sadar, Mymensingh",3,3,April Rent ,25000,"Family House Rent Mymensingh Sadar, Mymensingh",Mymensingh,4,Mymensingh Sadar,Family
"Mymensingh Sadar, Mymensingh",2,1,April Rent ,6500,"Family House Rent Mymensingh Sadar, Mymensingh",Mymensingh,4,Mymensingh Sadar,Family
"Dhopakhola, Mymensingh Sadar",2,2,April Rent ,14000,"Family House Rent Dhopakhola, Mymensingh Sadar",Mymensingh,4,Dhopakhola,Family
"Mymensingh Sadar, Mymensingh",1,1,March Rent ,6000,"Bachelor Room Rent Mymensingh Sadar, Mymensingh",Mymensingh,3,Mymensingh Sadar,Bachelor Room
"Kachijhuli, Mymensingh Sadar",1,1,April Rent ,4500,"Bachelor Room Rent Kachijhuli, Mymensingh Sadar",Mymensingh,4,Kachijhuli,Bachelor Room
"Shankipara, Mymensingh Sadar",2,1,March Rent ,7000,"Family House Rent Shankipara, Mymensingh Sadar",Mymensingh,3,Shankipara,Family
"Mymensingh Sadar, Mymensingh",1,1,March Rent ,1600,"Bachelor Seat Rent Mymensingh Sadar, Mymensingh",Mymensingh,3,Mymensingh Sadar,Bachelor Seat
"Shankipara, Mymensingh Sadar",2,2,April Rent ,8000,"Family House Rent Shankipara, Mymensingh Sadar",Mymensingh,4,Shankipara,Family
"Charpara, Mymensingh Sadar",1,1,May Rent ,4500,"Family House Rent Charpara, Mymensingh Sadar",Mymensingh,5,Charpara,Family
"Kurpar, Netrakona Sadar",2,1,May Rent ,5500,"Family House Rent Kurpar, Netrakona Sadar",Mymensingh,5,Kurpar,Family
"Muktarpara, Netrakona Sadar",0,1,March Rent ,4500,"Sublet Room Rent Muktarpara, Netrakona Sadar Room: 1, Bath: 1 To-let from:
                                March Rent : 4500 BDT Save Property Add to Compare",Mymensingh,3,Muktarpara,Sublet
"Mymensingh Sadar, Mymensingh",2,2,April Rent ,8000,"Family House Rent Mymensingh Sadar, Mymensingh",Mymensingh,4,Mymensingh Sadar,Family
"College Road, Mymensingh Sadar",1,1,March Rent ,2000,"Bachelor Seat Rent College Road, Mymensingh Sadar",Mymensingh,3,College Road,Bachelor Seat
"Mymensingh Sadar, Mymensingh",0,1,March Rent ,5000,"Sublet Room Rent Mymensingh Sadar, Mymensingh Room: 1, Bath: 1 To-let from:
                                March Rent : 5000 BDT Save Property Add to Compare",Mymensingh,3,Mymensingh Sadar,Sublet
"Outer Stadium, Mymensingh Sadar",3,2,April Rent ,8000,"Family House Rent Outer Stadium, Mymensingh Sadar",Mymensingh,4,Outer Stadium,Family
"College Road, Mymensingh Sadar",1,1,March Rent ,2000,"Bachelor Seat Rent College Road, Mymensingh Sadar",Mymensingh,3,College Road,Bachelor Seat
"Mymensingh Sadar, Mymensingh",3,2,March Rent ,5000,"Family House Rent Mymensingh Sadar, Mymensingh",Mymensingh,3,Mymensingh Sadar,Family
"Mymensingh Sadar, Mymensingh",1,1,March Rent ,1600,"Bachelor Seat Rent Mymensingh Sadar, Mymensingh",Mymensingh,3,Mymensingh Sadar,Bachelor Seat
"Mymensingh Sadar, Mymensingh",2,2,March Rent ,8000,"Family House Rent Mymensingh Sadar, Mymensingh",Mymensingh,3,Mymensingh Sadar,Family
"Mymensingh Sadar, Mymensingh",2,2,March Rent ,8000,"Family House Rent Mymensingh Sadar, Mymensingh",Mymensingh,3,Mymensingh Sadar,Family
"Charpara, Mymensingh Sadar",3,2,April Rent ,13000,"Family House Rent Charpara, Mymensingh Sadar",Mymensingh,4,Charpara,Family
"Charpara, Mymensingh Sadar",3,2,March Rent ,9000,"Family House Rent Charpara, Mymensingh Sadar",Mymensingh,3,Charpara,Family
"Mymensingh Sadar, Mymensingh",0,1,March Rent ,2500,"Sublet Room Rent Mymensingh Sadar, Mymensingh Room: 1, Bath: 1 To-let from:
                                March Rent : 2500 BDT Save Property Add to Compare",Mymensingh,3,Mymensingh Sadar,Sublet
"Senbari, Mymensingh Sadar",1,1,March Rent ,1700,"Bachelor Seat Rent Senbari, Mymensingh Sadar",Mymensingh,3,Senbari,Bachelor Seat
"College Road, Mymensingh Sadar",1,1,March Rent ,2250,"Bachelor Seat Rent College Road, Mymensingh Sadar",Mymensingh,3,College Road,Bachelor Seat
"Kachijhuli, Mymensingh Sadar",3,3,April Rent ,18000,"Family House Rent Kachijhuli, Mymensingh Sadar",Mymensingh,4,Kachijhuli,Family
"Aqua, Mymensingh Sadar",2,2,February Rent ,5500,"Family House Rent Aqua, Mymensingh Sadar",Mymensingh,2,Aqua,Family
"Shankipara, Mymensingh Sadar",1,1,March Rent ,1500,"Bachelor Seat Rent Shankipara, Mymensingh Sadar",Mymensingh,3,Shankipara,Bachelor Seat
"Maskanda, Mymensingh Sadar",0,1,March Rent ,3000,"Sublet Room Rent Maskanda, Mymensingh Sadar Room: 1, Bath: 1 To-let from:
                                March Rent : 3000 BDT Save Property Add to Compare",Mymensingh,3,Maskanda,Sublet
"Kachijhuli, Mymensingh Sadar",1,1,March Rent ,6000,"Family Room Rent Kachijhuli, Mymensingh Sadar",Mymensingh,3,Kachijhuli,Family
"College Road, Mymensingh Sadar",1,1,March Rent ,1250,"Bachelor Room Rent College Road, Mymensingh Sadar",Mymensingh,3,College Road,Bachelor Room
"Nayapara, Mymensingh Sadar",2,2,March Rent ,7000,"Family House Rent Nayapara, Mymensingh Sadar",Mymensingh,3,Nayapara,Family
"Aqua, Mymensingh Sadar",1,1,March Rent ,1000,"Bachelor Seat Rent Aqua, Mymensingh Sadar",Mymensingh,3,Aqua,Bachelor Seat
"Jamtola moor, Mymensingh Sadar",1,1,March Rent ,1500,"Bachelor Seat Rent Jamtola moor, Mymensingh Sadar",Mymensingh,3,Jamtola moor,Bachelor Seat
"Dhopakhola, Mymensingh Sadar",1,1,March Rent ,3500,"Bachelor Room Rent Dhopakhola, Mymensingh Sadar",Mymensingh,3,Dhopakhola,Bachelor Room
"Mymensingh Sadar, Mymensingh",1,1,March Rent ,1150,"Bachelor Seat Rent Mymensingh Sadar, Mymensingh",Mymensingh,3,Mymensingh Sadar,Bachelor Seat
"Mymensingh Sadar, Mymensingh",1,1,March Rent ,2500,"Bachelor Seat Rent Mymensingh Sadar, Mymensingh",Mymensingh,3,Mymensingh Sadar,Bachelor Seat
"Shankipara, Mymensingh Sadar",1,1,March Rent ,1700,"Bachelor Seat Rent Shankipara, Mymensingh Sadar",Mymensingh,3,Shankipara,Bachelor Seat
"Brammopolly, Mymensingh Sadar",2,2,March Rent ,12000,"Family House Rent Brammopolly, Mymensingh Sadar",Mymensingh,3,Brammopolly,Family
"Kachijhuli, Mymensingh Sadar",1,1,March Rent ,3500,"Bachelor Room Rent Kachijhuli, Mymensingh Sadar",Mymensingh,3,Kachijhuli,Bachelor Room
"Aqua, Mymensingh Sadar",1,1,March Rent ,2785,"Bachelor Seat Rent Aqua, Mymensingh Sadar",Mymensingh,3,Aqua,Bachelor Seat
"Mymensingh Sadar, Mymensingh",1,1,March Rent ,4000,"Bachelor House Rent Mymensingh Sadar, Mymensingh",Mymensingh,3,Mymensingh Sadar,Other
"Mymensingh Sadar, Mymensingh",3,2,March Rent ,10500,"Family House Rent Mymensingh Sadar, Mymensingh",Mymensingh,3,Mymensingh Sadar,Family
"Jamalpur Sadar, Jamalpur",0,1,March Rent ,3800,"Sublet Room Rent Jamalpur Sadar, Jamalpur Room: 1, Bath: 1 To-let from:
                                March Rent : 3800 BDT Save Property Add to Compare",Mymensingh,3,Jamalpur Sadar,Sublet
"Jamalpur Sadar, Jamalpur",2,2,March Rent ,5500,"Family House Rent Jamalpur Sadar, Jamalpur",Mymensingh,3,Jamalpur Sadar,Family
"Sherpur Sadar, Sherpur",2,1,March Rent ,5500,"Family House Rent Sherpur Sadar, Sherpur",Mymensingh,3,Sherpur Sadar,Family
"Sherpur Sadar, Sherpur",2,1,March Rent ,5000,"Family House Rent Sherpur Sadar, Sherpur",Mymensingh,3,Sherpur Sadar,Family
"Mymensingh Sadar, Mymensingh",1,1,March Rent ,3800,"Bachelor Room Rent Mymensingh Sadar, Mymensingh",Mymensingh,3,Mymensingh Sadar,Bachelor Room
"Mymensingh Sadar, Mymensingh",1,1,March Rent ,3700,"Family House Rent Mymensingh Sadar, Mymensingh",Mymensingh,3,Mymensingh Sadar,Family
"Mymensingh Sadar, Mymensingh",1,1,March Rent ,2800,"Bachelor Room Rent Mymensingh Sadar, Mymensingh",Mymensingh,3,Mymensingh Sadar,Bachelor Room
"Outer Stadium, Mymensingh Sadar",3,2,March Rent ,10000,"Family House Rent Outer Stadium, Mymensingh Sadar",Mymensingh,3,Outer Stadium,Family
"Mymensingh Sadar, Mymensingh",1,1,March Rent ,1720,"Bachelor Seat Rent Mymensingh Sadar, Mymensingh",Mymensingh,3,Mymensingh Sadar,Bachelor Seat
"Outer Stadium, Mymensingh Sadar",2,2,March Rent ,8000,"Family House Rent Outer Stadium, Mymensingh Sadar",Mymensingh,3,Outer Stadium,Family
"Mymensingh Sadar, Mymensingh",2,1,March Rent ,10000,"Family House Rent Mymensingh Sadar, Mymensingh",Mymensingh,3,Mymensingh Sadar,Family
"Aqua, Mymensingh Sadar",4,2,March Rent ,10500,"Family House Rent Aqua, Mymensingh Sadar",Mymensingh,3,Aqua,Family
"Mymensingh Sadar, Mymensingh",3,2,February Rent ,11000,"Family House Rent Mymensingh Sadar, Mymensingh",Mymensingh,2,Mymensingh Sadar,Family
"Baghmara, Mymensingh Sadar",3,2,March Rent ,10000,"Family House Rent Baghmara, Mymensingh Sadar",Mymensingh,3,Baghmara,Family
"Aqua, Mymensingh Sadar",2,2,March Rent ,6000,"Family House Rent Aqua, Mymensingh Sadar",Mymensingh,3,Aqua,Family
"Dhopakhola, Mymensingh Sadar",2,1,March Rent ,9000,"Family House Rent Dhopakhola, Mymensingh Sadar",Mymensingh,3,Dhopakhola,Family
"Aqua, Mymensingh Sadar",0,1,March Rent ,3000,"Sublet Room Rent Aqua, Mymensingh Sadar Room: 1, Bath: 1 To-let from:
                                March Rent : 3000 BDT Save Property Add to Compare",Mymensingh,3,Aqua,Sublet
"Mymensingh Sadar, Mymensingh",2,1,March Rent ,7000,"Family House Rent Mymensingh Sadar, Mymensingh",Mymensingh,3,Mymensingh Sadar,Family
"Naumahal, Mymensingh Sadar",1,1,March Rent ,2000,"Bachelor Seat Rent Naumahal, Mymensingh Sadar",Mymensingh,3,Naumahal,Bachelor Seat
"Mymensingh Sadar, Mymensingh",1,1,March Rent ,1900,"Bachelor Seat Rent Mymensingh Sadar, Mymensingh",Mymensingh,3,Mymensingh Sadar,Bachelor Seat
"Kewatkhali, Mymensingh Sadar",1,1,March Rent ,4000,"Family House Rent Kewatkhali, Mymensingh Sadar",Mymensingh,3,Kewatkhali,Family
"Brammopolly, Mymensingh Sadar",3,2,March Rent ,14000,"Family House Rent Brammopolly, Mymensingh Sadar",Mymensingh,3,Brammopolly,Family
"Aqua, Mymensingh Sadar",2,2,March Rent ,6500,"Family House Rent Aqua, Mymensingh Sadar",Mymensingh,3,Aqua,Family
"Naumahal, Mymensingh Sadar",3,2,March Rent ,16000,"Family House Rent Naumahal, Mymensingh Sadar",Mymensingh,3,Naumahal,Family
"Shankipara, Mymensingh Sadar",1,1,March Rent ,1700,"Bachelor Seat Rent Shankipara, Mymensingh Sadar",Mymensingh,3,Shankipara,Bachelor Seat
"Aqua, Mymensingh Sadar",2,1,March Rent ,4100,"Family House Rent Aqua, Mymensingh Sadar",Mymensingh,3,Aqua,Family
"Shankipara, Mymensingh Sadar",1,1,March Rent ,1000,"Bachelor Seat Rent Shankipara, Mymensingh Sadar",Mymensingh,3,Shankipara,Bachelor Seat
"Mymensingh Sadar, Mymensingh",1,1,March Rent ,2000,"Bachelor Seat Rent Mymensingh Sadar, Mymensingh",Mymensingh,3,Mymensingh Sadar,Bachelor Seat
"Vatikashor, Mymensingh Sadar",3,2,March Rent ,7500,"Family House Rent Vatikashor, Mymensingh Sadar",Mymensingh,3,Vatikashor,Family
"Shankipara, Mymensingh Sadar",1,1,March Rent ,1500,"Bachelor Seat Rent Shankipara, Mymensingh Sadar",Mymensingh,3,Shankipara,Bachelor Seat
"Kachijhuli, Mymensingh Sadar",1,1,March Rent ,1900,"Bachelor Seat Rent Kachijhuli, Mymensingh Sadar",Mymensingh,3,Kachijhuli,Bachelor Seat
"Ananda Bazar, Netrakona Sadar",2,1,March Rent ,5000,"Family House Rent Ananda Bazar, Netrakona Sadar",Mymensingh,3,Ananda Bazar,Family
"Nagra, Netrakona Sadar",2,1,March Rent ,5500,"Family House Rent Nagra, Netrakona Sadar",Mymensingh,3,Nagra,Family
"Jamalpur Sadar, Jamalpur",2,2,March Rent ,7500,"Family House Rent Jamalpur Sadar, Jamalpur",Mymensingh,3,Jamalpur Sadar,Family
"Mymensingh Sadar, Mymensingh",1,1,March Rent ,4500,"Bachelor Room Rent Mymensingh Sadar, Mymensingh",Mymensingh,3,Mymensingh Sadar,Bachelor Room
"Aqua, Mymensingh Sadar",2,1,March Rent ,7000,"Family House Rent Aqua, Mymensingh Sadar",Mymensingh,3,Aqua,Family
"Aqua, Mymensingh Sadar",2,1,March Rent ,4100,"Family House Rent Aqua, Mymensingh Sadar",Mymensingh,3,Aqua,Family
"Charpara, Mymensingh Sadar",1,1,March Rent ,4000,"Bachelor Room Rent Charpara, Mymensingh Sadar",Mymensingh,3,Charpara,Bachelor Room
"Aqua, Mymensingh Sadar",1,1,March Rent ,2500,"Bachelor Seat Rent Aqua, Mymensingh Sadar",Mymensingh,3,Aqua,Bachelor Seat
"College Road, Mymensingh Sadar",1,1,March Rent ,2000,"Bachelor Seat Rent College Road, Mymensingh Sadar",Mymensingh,3,College Road,Bachelor Seat
"Chuadanga Sadar, Chuadanga",3,2,September Rent ,6500,"Family Flat Rent Chuadanga Sadar, Chuadanga",Khulna,9,Chuadanga Sadar,Family
"Jessore Sadar, Jessore",2,1,October Rent ,5500,"Family Flat Rent Jessore Sadar, Jessore",Khulna,10,Jessore Sadar,Family
"Nirala, Khulna Sadar",1,1,October Rent ,6000,"Family House Rent Nirala, Khulna Sadar",Khulna,10,Nirala,Family
"Bagmara, Khulna Sadar",2,2,October Rent ,8500,"Family Flat Rent Bagmara, Khulna Sadar",Khulna,10,Bagmara,Family
"Boyra, Khulna Sadar",2,2,September Rent ,8000,"Family Flat Rent Boyra, Khulna Sadar",Khulna,9,Boyra,Family
"Magura Sadar, Magura",3,2,September Rent ,6000,"Family House Rent Magura Sadar, Magura",Khulna,9,Magura Sadar,Family
"Sonadanga, Khulna",2,2,September Rent ,8000,"Family Flat Rent Sonadanga, Khulna",Khulna,9,Sonadanga,Family
"Nirala, Khulna Sadar",1,1,September Rent ,4000,"Bachelor Room Rent Nirala, Khulna Sadar",Khulna,9,Nirala,Bachelor Room
"Bania Khamar, Khulna Sadar",2,2,October Rent ,7500,"Family House Rent Bania Khamar, Khulna Sadar",Khulna,10,Bania Khamar,Family
"Boikali Bazar, Khulna Sadar",3,1,October Rent ,3200,"Bachelor Room Rent Boikali Bazar, Khulna Sadar",Khulna,10,Boikali Bazar,Bachelor Room
"Khanjahan Ali, Khulna",1,1,September Rent ,1750,"Bachelor Seat Rent Khanjahan Ali, Khulna",Khulna,9,Khanjahan Ali,Bachelor Seat
"Boyra, Khulna Sadar",1,1,September Rent ,1400,"Bachelor Seat Rent Boyra, Khulna Sadar",Khulna,9,Boyra,Bachelor Seat
"Chuadanga Sadar, Chuadanga",2,3,September Rent ,10000,"Family Apartment Rent Chuadanga Sadar, Chuadanga",Khulna,9,Chuadanga Sadar,Family
"Gulshan Para, Chuadanga Sadar",2,2,September Rent ,5500,"Family House Rent Gulshan Para, Chuadanga Sadar",Khulna,9,Gulshan Para,Family
"Jhenaidah Sadar, Jhenaidah",1,1,September Rent ,3800,"Family House Rent Jhenaidah Sadar, Jhenaidah",Khulna,9,Jhenaidah Sadar,Family
"Sonadanga, Khulna",2,2,September Rent ,8000,"Family Room Rent Sonadanga, Khulna",Khulna,9,Sonadanga,Family
"Sonadanga, Khulna",2,2,September Rent ,6000,"Family House Rent Sonadanga, Khulna",Khulna,9,Sonadanga,Family
"Khulna Sadar, Khulna",2,2,September Rent ,6800,"Family House Rent Khulna Sadar, Khulna",Khulna,9,Khulna Sadar,Family
"Khulna Sadar, Khulna",1,1,September Rent ,2100,"Bachelor Room Rent Khulna Sadar, Khulna",Khulna,9,Khulna Sadar,Bachelor Room
"Khulna Sadar, Khulna",3,2,September Rent ,5500,"Family Flat Rent Khulna Sadar, Khulna",Khulna,9,Khulna Sadar,Family
"Khulna Sadar, Khulna",2,1,September Rent ,5000,"Family House Rent Khulna Sadar, Khulna",Khulna,9,Khulna Sadar,Family
"Khulna Sadar, Khulna",2,2,September Rent ,9500,"Family Flat Rent Khulna Sadar, Khulna",Khulna,9,Khulna Sadar,Family
"Sonadanga, Khulna",3,3,September Rent ,13500,"Family Flat Rent Sonadanga, Khulna",Khulna,9,Sonadanga,Family
"Sonadanga, Khulna",2,2,September Rent ,8000,"Family Flat Rent Sonadanga, Khulna",Khulna,9,Sonadanga,Family
"Tootpara, Khulna Sadar",2,1,September Rent ,6000,"Family Flat Rent Tootpara, Khulna Sadar",Khulna,9,Tootpara,Family
"Sonadanga, Khulna",1,1,September Rent ,1300,"Bachelor Flat Rent Sonadanga, Khulna",Khulna,9,Sonadanga,Flat
"Nirala, Khulna Sadar",3,3,October Rent ,15500,"Family Flat Rent Nirala, Khulna Sadar",Khulna,10,Nirala,Family
"Khulna Sadar, Khulna",1,1,September Rent ,950,"Bachelor House Rent Khulna Sadar, Khulna",Khulna,9,Khulna Sadar,Other
"Mistrypara, Khulna Sadar",1,1,October Rent ,5000,"Family Flat Rent Mistrypara, Khulna Sadar",Khulna,10,Mistrypara,Family
"Tootpara, Khulna Sadar",2,1,September Rent ,3800,"Bachelor Flat Rent Tootpara, Khulna Sadar",Khulna,9,Tootpara,Flat
"Tootpara, Khulna Sadar",2,1,September Rent ,1250,"Bachelor Room Rent Tootpara, Khulna Sadar",Khulna,9,Tootpara,Bachelor Room
"Khanjahan Ali, Khulna",2,2,September Rent ,7500,"Family Flat Rent Khanjahan Ali, Khulna",Khulna,9,Khanjahan Ali,Family
"Moylapota, Khulna Sadar",1,1,September Rent ,1700,"Bachelor Seat Rent Moylapota, Khulna Sadar",Khulna,9,Moylapota,Bachelor Seat
"Boikali Bazar, Khulna Sadar",1,1,September Rent ,1250,"Bachelor Seat Rent Boikali Bazar, Khulna Sadar",Khulna,9,Boikali Bazar,Bachelor Seat
"Sonadanga, Khulna",2,2,September Rent ,9500,"Family House Rent Sonadanga, Khulna",Khulna,9,Sonadanga,Family
"Satkhira Sadar, Satkhira",2,1,September Rent ,3500,"Family House Rent Satkhira Sadar, Satkhira",Khulna,9,Satkhira Sadar,Family
"Paglakanai, Jhenaidah Sadar",2,2,September Rent ,6000,"Family Room Rent Paglakanai, Jhenaidah Sadar",Khulna,9,Paglakanai,Family
"Jhenaidah Sadar, Jhenaidah",2,1,September Rent ,3800,"Family Flat Rent Jhenaidah Sadar, Jhenaidah",Khulna,9,Jhenaidah Sadar,Family
"Bepari Para, Jhenaidah Sadar",1,1,September Rent ,2000,"Bachelor Seat Rent Bepari Para, Jhenaidah Sadar",Khulna,9,Bepari Para,Bachelor Seat
"Arappur, Jhenaidah Sadar",2,1,September Rent ,3500,"Family Room Rent Arappur, Jhenaidah Sadar",Khulna,9,Arappur,Family
"Jessore Sadar, Jessore",2,2,September Rent ,6500,"Family Room Rent Jessore Sadar, Jessore",Khulna,9,Jessore Sadar,Family
"Kushtia Sadar, Kushtia",1,1,September Rent ,3750,"Bachelor Room Rent Kushtia Sadar, Kushtia",Khulna,9,Kushtia Sadar,Bachelor Room
"Kushtia Sadar, Kushtia",3,2,September Rent ,5500,"Family Unit Rent Kushtia Sadar, Kushtia",Khulna,9,Kushtia Sadar,Family
"Mazampur, Kushtia Sadar",2,2,September Rent ,5500,"Family Room Rent Mazampur, Kushtia Sadar",Khulna,9,Mazampur,Family
"Jessore Sadar, Jessore",2,1,September Rent ,6000,"Family Flat Rent Jessore Sadar, Jessore",Khulna,9,Jessore Sadar,Family
"Jessore Sadar, Jessore",1,1,September Rent ,1900,"Family Room Rent Jessore Sadar, Jessore",Khulna,9,Jessore Sadar,Family
"Sonadanga, Khulna",2,1,September Rent ,3800,"Bachelor Seat Rent Sonadanga, Khulna",Khulna,9,Sonadanga,Bachelor Seat
"Boyra, Khulna Sadar",2,2,September Rent ,11000,"Family Flat Rent Boyra, Khulna Sadar",Khulna,9,Boyra,Family
"Moylapota, Khulna Sadar",1,1,September Rent ,1900,"Bachelor Seat Rent Moylapota, Khulna Sadar",Khulna,9,Moylapota,Bachelor Seat
"Khulna Sadar, Khulna",1,1,September Rent ,4500,"Bachelor Seat Rent Khulna Sadar, Khulna",Khulna,9,Khulna Sadar,Bachelor Seat
"Khulna Sadar, Khulna",2,2,September Rent ,8000,"Family Room Rent Khulna Sadar, Khulna",Khulna,9,Khulna Sadar,Family
"Rupsa, Khulna",1,1,September Rent ,4000,"Family Room Rent Rupsa, Khulna",Khulna,9,Rupsa,Family
"Sonadanga, Khulna",2,2,September Rent ,9000,"Family House Rent Sonadanga, Khulna",Khulna,9,Sonadanga,Family
"Moylapota, Khulna Sadar",1,1,September Rent ,3000,"Bachelor Flat Rent Moylapota, Khulna Sadar",Khulna,9,Moylapota,Flat
"Nirala, Khulna Sadar",3,2,September Rent ,8000,"Family Room Rent Nirala, Khulna Sadar",Khulna,9,Nirala,Family
"Sonadanga, Khulna",1,1,October Rent ,2000,"Bachelor Room Rent Sonadanga, Khulna",Khulna,10,Sonadanga,Bachelor Room
"Goborchaka, Khulna Sadar",1,1,September Rent ,5000,"Family Room Rent Goborchaka, Khulna Sadar",Khulna,9,Goborchaka,Family
"Nirala, Khulna Sadar",2,2,September Rent ,6000,"Family Room Rent Nirala, Khulna Sadar",Khulna,9,Nirala,Family
"Dolkhola, Khulna Sadar",1,1,September Rent ,850,"Bachelor Seat Rent Dolkhola, Khulna Sadar",Khulna,9,Dolkhola,Bachelor Seat
"Goborchaka, Khulna Sadar",2,1,September Rent ,7500,"Family House Rent Goborchaka, Khulna Sadar",Khulna,9,Goborchaka,Family
"Sonadanga, Khulna",2,2,September Rent ,7000,"Family Room Rent Sonadanga, Khulna",Khulna,9,Sonadanga,Family
"Khanjahan Ali, Khulna",2,2,September Rent ,10500,"Family Flat Rent Khanjahan Ali, Khulna",Khulna,9,Khanjahan Ali,Family
"Batiaghata, Khulna",2,1,September Rent ,5500,"Family Flat Rent Batiaghata, Khulna",Khulna,9,Batiaghata,Family
"Sonadanga, Khulna",1,1,September Rent ,2250,"Bachelor Seat Rent Sonadanga, Khulna",Khulna,9,Sonadanga,Bachelor Seat
"Tootpara, Khulna Sadar",1,1,September Rent ,1700,"Bachelor Seat Rent Tootpara, Khulna Sadar",Khulna,9,Tootpara,Bachelor Seat
"Nirala, Khulna Sadar",1,1,September Rent ,1050,"Bachelor Seat Rent Nirala, Khulna Sadar",Khulna,9,Nirala,Bachelor Seat
"Nirala, Khulna Sadar",2,2,September Rent ,8500,"Family Flat Rent Nirala, Khulna Sadar",Khulna,9,Nirala,Family
"Goborchaka, Khulna Sadar",1,1,September Rent ,4500,"Family Room Rent Goborchaka, Khulna Sadar",Khulna,9,Goborchaka,Family
"Terokhada, Khulna",1,1,October Rent ,5500,"Family Room Rent Terokhada, Khulna",Khulna,10,Terokhada,Family
"Khulna Sadar, Khulna",2,1,September Rent ,6000,"Family Flat Rent Khulna Sadar, Khulna",Khulna,9,Khulna Sadar,Family
"Gollamari, Khulna Sadar",1,1,September Rent ,5500,"Family Room Rent Gollamari, Khulna Sadar",Khulna,9,Gollamari,Family
"Jhenaidah Sadar, Jhenaidah",2,1,September Rent ,4400,"Family Flat Rent Jhenaidah Sadar, Jhenaidah",Khulna,9,Jhenaidah Sadar,Family
"Boyra, Khulna Sadar",2,2,September Rent ,6000,"Family Flat Rent Boyra, Khulna Sadar",Khulna,9,Boyra,Family
"Khulna Sadar, Khulna",2,2,October Rent ,13000,"Family Flat Rent Khulna Sadar, Khulna",Khulna,10,Khulna Sadar,Family
"Jhenaidah Sadar, Jhenaidah",2,1,September Rent ,5000,"Family House Rent Jhenaidah Sadar, Jhenaidah",Khulna,9,Jhenaidah Sadar,Family
"Jhenaidah Sadar, Jhenaidah",2,2,September Rent ,5000,"Family Flat Rent Jhenaidah Sadar, Jhenaidah",Khulna,9,Jhenaidah Sadar,Family
"Jhenaidah Sadar, Jhenaidah",2,2,September Rent ,5800,"Family Flat Rent Jhenaidah Sadar, Jhenaidah",Khulna,9,Jhenaidah Sadar,Family
"Khulna Sadar, Khulna",2,2,September Rent ,7000,"Family Flat Rent Khulna Sadar, Khulna",Khulna,9,Khulna Sadar,Family
"Kanchannagar, Jhenaidah Sadar",3,3,September Rent ,8000,"Family Flat Rent Kanchannagar, Jhenaidah Sadar",Khulna,9,Kanchannagar,Family
"Khulna Sadar, Khulna",2,1,September Rent ,6500,"Family Flat Rent Khulna Sadar, Khulna",Khulna,9,Khulna Sadar,Family
"Satkhira Sadar, Satkhira",2,2,September Rent ,7500,"Family Flat Rent Satkhira Sadar, Satkhira",Khulna,9,Satkhira Sadar,Family
"Khulna Sadar, Khulna",1,1,September Rent ,4000,"Family Flat Rent Khulna Sadar, Khulna",Khulna,9,Khulna Sadar,Family
"Khulna Sadar, Khulna",1,1,September Rent ,5500,"Family Flat Rent Khulna Sadar, Khulna",Khulna,9,Khulna Sadar,Family
"Khulna Sadar, Khulna",2,1,September Rent ,5700,"Family Flat Rent Khulna Sadar, Khulna",Khulna,9,Khulna Sadar,Family
"Sonadanga, Khulna",1,1,September Rent ,5500,"Family Flat Rent Sonadanga, Khulna",Khulna,9,Sonadanga,Family
"Chuadanga Sadar, Chuadanga",2,1,September Rent ,3500,"Family House Rent Chuadanga Sadar, Chuadanga",Khulna,9,Chuadanga Sadar,Family
"Chuadanga Sadar, Chuadanga",3,1,September Rent ,4500,"Family House Rent Chuadanga Sadar, Chuadanga",Khulna,9,Chuadanga Sadar,Family
"Khulna Sadar, Khulna",3,2,October Rent ,11000,"Family Flat Rent Khulna Sadar, Khulna",Khulna,10,Khulna Sadar,Family
"Magura Sadar, Magura",3,2,September Rent ,6000,"Family House Rent Magura Sadar, Magura",Khulna,9,Magura Sadar,Family
"Khulna Sadar, Khulna",2,2,September Rent ,6600,"Family House Rent Khulna Sadar, Khulna",Khulna,9,Khulna Sadar,Family
"Khulna Sadar, Khulna",2,2,September Rent ,8000,"Family Flat Rent Khulna Sadar, Khulna",Khulna,9,Khulna Sadar,Family
"Khulna Sadar, Khulna",2,2,August Rent ,9000,"Bachelor House Rent Khulna Sadar, Khulna",Khulna,8,Khulna Sadar,Other
"Moulovipara, Khulna Sadar",1,1,August Rent ,4500,"Family House Rent Moulovipara, Khulna Sadar",Khulna,8,Moulovipara,Family
"Khanjahan Ali, Khulna",2,3,September Rent ,7500,"Family House Rent Khanjahan Ali, Khulna",Khulna,9,Khanjahan Ali,Family
"Sonadanga, Khulna",2,2,August Rent ,7500,"Family House Rent Sonadanga, Khulna",Khulna,8,Sonadanga,Family
"Nirala, Khulna Sadar",2,2,August Rent ,13000,"Family House Rent Nirala, Khulna Sadar",Khulna,8,Nirala,Family
"Polash Para, Chuadanga Sadar",2,1,September Rent ,4500,"Family House Rent Polash Para, Chuadanga Sadar",Khulna,9,Polash Para,Family
"Khulna Sadar, Khulna",2,2,September Rent ,12000,"Family Flat Rent Khulna Sadar, Khulna",Khulna,9,Khulna Sadar,Family
